#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
155,Terry Rozier,CHA,49.00,35.60,21.80,8.10,19.30,0.42,2.70,8.20,0.33,2.90,3.50,0.82,1.00,3.30,4.30,4.90,1.10,0.30,2.10,1.90
156,Kenrich Williams,OKC,49.00,22.50,7.80,3.30,6.30,0.52,1.00,2.50,0.38,0.30,0.70,0.44,1.90,3.10,5.00,2.00,0.80,0.30,0.60,1.90
157,Caleb Martin,MIA,49.00,30.30,10.10,3.80,8.40,0.45,1.30,3.70,0.36,1.10,1.50,0.76,1.40,3.80,5.20,1.60,1.00,0.40,1.10,2.20
158,De'Andre Hunter,ATL,49.00,32.00,15.90,5.70,12.40,0.46,1.60,4.40,0.36,2.90,3.50,0.83,0.70,3.70,4.40,1.40,0.60,0.20,1.20,3.00
159,Eric Gordon,LAC,49.00,29.90,13.00,4.40,10.10,0.44,1.80,5.20,0.35,2.40,2.90,0.82,0.20,1.80,2.10,3.00,0.70,0.40,1.70,0.90
160,Alex Caruso,CHI,49.00,24.30,5.50,1.90,4.20,0.44,0.80,2.10,0.38,0.90,1.20,0.79,0.60,2.50,3.10,3.20,1.70,0.70,1.30,2.50
161,John Konchar,MEM,49.00,22.40,5.90,2.20,5.10,0.43,1.10,2.90,0.37,0.40,0.50,0.87,0.90,3.80,4.70,1.40,1.00,0.30,0.60,1.50
162,Quentin Grimes,NYK,49.00,30.20,10.10,3.60,8.00,0.45,1.80,5.20,0.35,1.10,1.40,0.80,0.80,2.60,3.40,1.90,0.70,0.40,1.00,2.60
163,Isaiah Joe,OKC,49.00,15.70,8.30,2.70,5.80,0.47,2.10,4.70,0.45,0.80,1.00,0.84,0.30,1.90,2.20,1.10,0.60,0.10,0.40,1.30
164,Oshae Brissett,IND,49.00,16.00,5.50,1.70,4.50,0.39,0.80,2.40,0.33,1.20,1.80,0.69,0.90,2.50,3.40,0.50,0.60,0.20,0.40,1.30
165,Tyrese Haliburton,IND,48.00,33.40,19.90,7.20,15.00,0.48,2.90,7.20,0.40,2.60,3.10,0.86,0.70,3.10,3.80,10.10,1.80,0.40,2.60,1.20
166,Ja Morant,MEM,48.00,32.70,27.30,9.70,20.80,0.47,1.70,5.30,0.32,6.20,8.50,0.74,1.20,4.80,6.00,8.30,1.00,0.30,3.50,1.80
167,Jaylen Brown,BOS,48.00,35.60,26.50,9.90,20.20,0.49,2.50,7.60,0.33,4.30,5.50,0.78,1.20,5.80,7.00,3.20,1.10,0.50,3.00,2.70
168,Christian Wood,DAL,48.00,27.70,17.80,6.40,12.20,0.53,1.80,4.60,0.38,3.10,4.10,0.76,1.40,6.60,8.00,1.80,0.50,1.20,1.90,2.70
169,Kyle Anderson,MIN,48.00,26.10,8.60,3.10,6.30,0.50,0.60,1.40,0.43,1.70,2.20,0.78,0.80,3.90,4.70,4.10,1.20,0.80,1.40,2.10
170,"Larry Nance, Jr,",NOP,48.00,22.70,8.00,3.40,5.40,0.62,0.30,0.80,0.35,1.00,1.40,0.68,1.80,4.20,6.00,1.90,0.90,0.70,0.80,2.20
171,Isaiah Stewart II,DET,48.00,28.50,11.50,4.00,9.00,0.44,1.30,4.10,0.32,2.20,3.00,0.73,2.30,5.70,8.00,1.40,0.40,0.70,1.40,2.70
172,Kelly Olynyk,UTA,48.00,28.20,12.10,4.10,8.20,0.50,1.50,3.60,0.41,2.50,3.00,0.85,1.30,4.10,5.30,3.30,1.00,0.60,2.20,3.80
173,Donte DiVincenzo,GSW,48.00,25.20,9.00,3.10,7.20,0.43,2.10,5.00,0.42,0.70,0.80,0.83,0.90,3.30,4.10,3.30,1.30,0.10,1.50,1.80
174,Zach Collins,SAS,48.00,21.20,10.00,3.90,7.20,0.54,0.60,1.70,0.36,1.60,2.20,0.74,1.80,4.10,5.90,2.60,0.40,0.60,1.90,3.20
175,Jeremy Sochan,SAS,48.00,25.90,10.00,4.10,9.10,0.45,0.60,2.20,0.26,1.30,1.80,0.69,1.70,3.20,4.90,2.50,0.80,0.50,1.70,2.50
176,Giannis Antetokounmpo,MIL,47.00,33.10,31.80,11.30,21.00,0.54,0.80,3.00,0.27,8.40,13.00,0.65,2.30,9.90,12.20,5.40,0.80,0.80,4.00,3.40
177,Jrue Holiday,MIL,47.00,33.00,19.40,7.30,15.90,0.46,2.40,6.30,0.38,2.40,2.70,0.87,1.30,4.00,5.20,7.10,1.30,0.40,3.10,1.90
178,Bobby Portis,MIL,47.00,26.80,14.40,6.00,12.00,0.50,1.20,3.60,0.34,1.20,1.50,0.83,2.60,7.50,10.10,1.80,0.50,0.20,1.30,1.70
179,Collin Sexton,UTA,47.00,24.00,14.30,4.90,9.70,0.51,1.00,2.50,0.41,3.40,4.20,0.82,0.80,1.40,2.20,2.90,0.60,0.10,1.80,2.30
180,Jericho Sims,NYK,47.00,16.30,3.70,1.70,2.20,0.77,0.00,0.00,0.00,0.30,0.30,0.75,2.00,2.90,4.90,0.50,0.30,0.60,0.50,1.90
181,Thaddeus Young,TOR,47.00,16.00,4.90,2.20,3.90,0.56,0.10,0.70,0.16,0.40,0.60,0.69,1.40,1.90,3.30,1.50,1.10,0.10,0.80,1.80
182,Miles McBride,NYK,47.00,12.60,3.40,1.20,3.50,0.34,0.60,2.20,0.29,0.50,0.70,0.69,0.20,0.60,0.90,1.20,0.60,0.00,0.40,1.00
183,"J,T, Thor",CHA,47.00,10.80,2.60,0.90,2.50,0.37,0.30,1.30,0.25,0.40,0.60,0.62,0.50,1.20,1.70,0.40,0.20,0.20,0.50,0.80
184,Damian Lillard,POR,46.00,36.20,31.40,9.50,20.20,0.47,4.20,11.20,0.37,8.30,9.10,0.92,0.60,3.70,4.30,7.30,0.80,0.30,3.20,1.90
185,Mike Conley,MIN,46.00,29.70,10.50,3.50,8.60,0.40,1.80,4.90,0.36,1.80,2.20,0.81,0.40,2.00,2.50,7.60,1.10,0.20,1.70,2.20
186,Klay Thompson,GSW,46.00,32.80,21.40,7.70,18.30,0.42,4.20,10.60,0.40,1.80,2.00,0.88,0.70,3.20,3.90,2.50,0.70,0.30,1.70,2.00
187,Alec Burks,DET,46.00,22.10,12.90,4.00,9.00,0.44,1.90,4.60,0.42,3.00,3.70,0.82,0.40,2.60,2.90,2.20,0.70,0.10,1.20,1.90
188,Andre Drummond,CHI,46.00,12.90,6.40,2.70,4.30,0.63,0.00,0.00,0.00,1.00,1.90,0.53,2.10,4.60,6.70,0.60,0.70,0.30,1.20,1.80
189,Talen Horton-Tucker,UTA,46.00,16.50,7.70,2.80,7.00,0.41,0.70,2.60,0.26,1.30,1.80,0.74,0.50,2.00,2.50,2.90,0.60,0.40,1.20,1.50
190,Wenyen Gabriel,LAL,46.00,15.30,6.30,2.60,4.30,0.62,0.20,0.70,0.30,0.80,1.30,0.62,1.70,2.20,3.90,0.50,0.30,0.50,0.70,2.20
191,Mike Muscala,BOS,46.00,15.20,6.60,2.30,5.10,0.44,1.40,3.60,0.39,0.70,0.90,0.78,0.50,2.70,3.20,0.90,0.30,0.40,0.30,1.70
192,Aaron Wiggins,OKC,46.00,18.40,6.40,2.40,4.80,0.51,0.70,1.70,0.41,0.80,1.00,0.83,1.00,2.10,3.20,1.30,0.50,0.20,0.80,1.60
193,Jonathan Kuminga,GSW,46.00,19.30,8.40,3.30,6.60,0.50,0.70,2.10,0.33,1.20,1.90,0.64,0.90,2.20,3.10,1.80,0.50,0.40,1.50,2.30
194,Bismack Biyombo,PHX,46.00,13.90,3.80,1.70,3.00,0.57,0.00,0.00,0.00,0.30,1.10,0.31,1.10,3.00,4.10,0.90,0.30,1.30,0.90,1.80
195,Derrick Jones,CHI,46.00,15.20,5.40,1.90,3.80,0.51,0.40,1.20,0.33,1.20,1.50,0.79,1.00,1.60,2.60,0.60,0.50,0.70,0.40,1.50
196,Edmond Sumner,BRK,46.00,14.50,7.40,2.50,5.30,0.46,0.60,1.80,0.35,1.90,2.10,0.93,0.20,1.30,1.60,1.40,0.70,0.20,1.00,1.70
197,Austin Rivers,MIN,46.00,20.80,5.40,1.90,4.20,0.46,0.90,2.50,0.36,0.70,0.80,0.86,0.10,1.60,1.70,1.50,0.60,0.10,0.50,1.70
198,David Roddy,MEM,46.00,17.80,6.30,2.40,5.80,0.42,0.80,2.90,0.29,0.70,1.00,0.63,0.70,2.00,2.70,0.70,0.50,0.30,0.90,1.50
199,Garrison Mathews,ATL,46.00,13.10,4.70,1.30,3.70,0.36,1.20,3.40,0.35,0.90,1.00,0.91,0.20,1.20,1.40,0.50,0.50,0.10,0.40,1.20
200,Joel Embiid,PHI,45.00,34.90,33.10,11.00,20.50,0.54,1.10,3.10,0.36,9.90,11.60,0.86,1.80,8.40,10.20,4.10,1.20,1.50,3.50,3.20
201,LeBron James,LAL,45.00,36.30,30.00,11.50,22.60,0.51,2.20,7.00,0.31,4.80,6.40,0.76,1.10,7.30,8.40,7.00,1.00,0.60,3.20,1.60
202,Jamal Murray,DEN,45.00,32.50,20.20,7.40,16.00,0.46,2.40,6.10,0.40,3.10,3.70,0.83,0.80,3.40,4.10,5.80,1.00,0.20,2.10,1.30
203,Tyler Herro,MIA,45.00,35.40,20.60,7.50,17.10,0.44,3.00,8.10,0.37,2.60,2.80,0.92,0.50,5.30,5.70,4.40,0.90,0.30,2.50,1.70
204,Jusuf Nurkic,POR,45.00,27.30,13.80,5.20,9.80,0.52,0.90,2.20,0.39,2.60,3.80,0.69,2.30,7.20,9.40,2.90,0.90,0.90,2.40,3.60
205,OG Anunoby,TOR,45.00,35.80,16.90,6.30,13.70,0.46,1.90,5.20,0.37,2.40,3.00,0.82,1.50,4.00,5.50,2.00,2.10,0.80,2.20,3.00
206,Al Horford,BOS,45.00,30.70,9.30,3.50,7.50,0.46,2.00,4.80,0.42,0.30,0.40,0.72,1.20,5.00,6.20,2.60,0.50,0.90,0.60,1.90
207,Dennis Schroder,LAL,45.00,30.70,12.40,4.00,9.50,0.42,1.20,3.50,0.35,3.10,3.60,0.87,0.30,2.30,2.60,4.20,0.70,0.10,1.60,2.30
208,Nick Richards,CHA,45.00,17.20,8.00,3.00,4.80,0.62,0.00,0.00,0.00,2.00,2.80,0.73,2.50,3.30,5.80,0.50,0.20,1.00,0.90,2.30
209,Isaiah Jackson,IND,45.00,15.30,6.80,2.60,4.60,0.57,0.00,0.30,0.17,1.50,2.30,0.65,1.40,2.50,3.90,0.90,0.40,1.50,0.90,2.20
210,Keita Bates-Diop,SAS,45.00,20.10,8.10,3.10,6.30,0.49,0.60,1.60,0.36,1.30,1.60,0.78,1.00,2.30,3.30,1.10,0.70,0.30,0.80,1.00
211,Patrick Beverley,LAL,45.00,26.90,6.40,2.20,5.40,0.40,1.20,3.50,0.35,0.90,1.10,0.78,0.50,2.60,3.10,2.60,0.90,0.60,0.90,2.80
212,Gabe Vincent,MIA,45.00,26.30,10.00,3.50,8.70,0.40,1.80,5.40,0.33,1.30,1.40,0.88,0.40,1.90,2.30,2.60,0.90,0.10,1.50,2.50
213,Malaki Branham,SAS,45.00,22.00,9.10,3.60,8.00,0.45,1.20,3.70,0.32,0.80,1.00,0.78,0.30,1.80,2.10,1.90,0.50,0.10,1.00,1.60
214,Obi Toppin,NYK,45.00,14.90,6.40,2.40,5.70,0.42,1.20,3.40,0.35,0.50,0.70,0.74,0.50,2.60,3.10,0.80,0.30,0.20,0.50,1.00
215,Christian Koloko,TOR,45.00,14.60,3.50,1.40,2.80,0.49,0.00,0.20,0.11,0.80,1.20,0.66,1.60,1.70,3.20,0.50,0.30,1.10,0.40,2.40
216,Jimmy Butler,MIA,44.00,33.70,21.70,7.20,14.20,0.51,0.50,1.70,0.30,6.80,8.00,0.85,2.20,3.80,6.00,5.10,2.00,0.40,1.70,1.30
217,Kyrie Irving,DAL,44.00,37.10,27.20,10.00,20.30,0.49,3.30,8.70,0.38,4.00,4.50,0.89,1.00,4.10,5.10,5.40,1.00,0.80,2.30,2.80
218,Paul George,LAC,44.00,34.20,23.30,8.10,17.60,0.46,3.00,7.70,0.38,4.10,4.70,0.87,0.70,5.40,6.10,5.30,1.50,0.30,3.30,2.70
219,Kyle Lowry,MIA,44.00,33.30,12.00,3.80,9.70,0.40,2.00,6.10,0.33,2.30,2.70,0.86,0.90,3.50,4.30,5.30,1.10,0.40,2.00,2.80
220,Thomas Bryant,DEN,44.00,20.60,11.70,4.60,7.10,0.65,0.50,1.20,0.43,1.90,2.60,0.74,1.60,4.90,6.50,0.70,0.30,0.50,0.70,1.80
221,Josh Richardson,NOP,44.00,23.90,11.30,4.20,9.60,0.44,1.70,4.90,0.35,1.30,1.50,0.85,0.70,2.10,2.80,3.20,1.10,0.30,1.50,1.80
222,Dorian Finney-Smith,BRK,44.00,32.00,8.90,3.10,7.70,0.41,1.80,5.30,0.35,0.80,1.00,0.73,1.70,3.20,4.90,1.40,0.90,0.50,0.90,2.10
223,Bones Hyland,LAC,44.00,19.40,11.90,4.00,10.10,0.40,2.10,5.60,0.38,1.70,2.00,0.85,0.30,1.80,2.10,2.90,0.70,0.30,1.60,1.60
224,Terence Davis,SAC,44.00,13.80,7.10,2.60,5.80,0.44,1.40,3.80,0.36,0.60,0.70,0.90,0.40,2.00,2.40,1.30,0.80,0.30,0.90,1.80
225,Vlatko Cancar,DEN,44.00,16.00,5.70,2.10,4.20,0.50,0.90,2.00,0.42,0.60,0.60,0.96,0.50,1.90,2.40,1.50,0.40,0.30,0.70,1.60
226,Chimezie Metu,SAC,44.00,10.80,5.00,2.10,3.40,0.61,0.20,0.70,0.26,0.70,0.80,0.81,0.70,2.30,3.00,0.70,0.30,0.30,0.60,1.30
227,"Paul Reed, Jr,",PHI,44.00,9.60,3.10,1.40,2.30,0.58,0.00,0.10,0.00,0.40,0.50,0.73,1.20,2.00,3.20,0.30,0.70,0.60,0.60,1.90
228,Zeke Nnaji,DEN,44.00,13.30,5.10,2.00,3.50,0.57,0.30,1.00,0.29,0.80,1.20,0.67,1.30,1.00,2.30,0.30,0.30,0.40,0.50,1.80
229,Rudy Gay,UTA,44.00,14.70,4.80,1.80,4.80,0.38,0.50,2.20,0.24,0.70,0.80,0.86,0.60,2.30,2.90,1.00,0.40,0.30,0.60,1.20
230,Kevin Knox,POR,44.00,13.80,5.50,1.90,4.10,0.47,1.00,2.70,0.36,0.60,0.80,0.80,0.50,2.00,2.50,0.30,0.30,0.30,0.70,1.80
231,Moses Moody,GSW,44.00,14.30,4.90,1.70,3.90,0.44,0.80,2.40,0.35,0.60,0.90,0.69,0.50,1.20,1.70,0.90,0.30,0.10,0.60,0.80
232,Clint Capela,ATL,43.00,26.90,12.20,5.50,8.80,0.63,0.00,0.00,0.00,1.10,1.90,0.61,4.30,7.10,11.30,0.80,0.70,1.20,0.80,2.20
233,Herb Jones,NOP,43.00,28.80,9.70,3.40,7.70,0.44,0.70,2.60,0.28,2.10,2.80,0.75,1.40,2.40,3.80,2.20,1.70,0.70,1.30,3.30
234,Anthony Lamb,GSW,43.00,19.50,7.20,2.60,5.10,0.51,1.30,3.40,0.40,0.70,0.90,0.72,0.80,2.50,3.20,1.70,0.50,0.30,1.00,2.30
235,Yuta Watanabe,BRK,43.00,18.00,6.50,2.30,4.50,0.52,1.20,2.50,0.48,0.70,0.90,0.74,0.60,2.00,2.60,0.90,0.40,0.30,0.40,1.40
236,Terrence Ross,PHX,43.00,22.50,8.10,3.20,7.30,0.43,1.40,3.90,0.37,0.40,0.50,0.73,0.30,1.80,2.10,1.30,0.60,0.20,0.90,1.30
237,Haywood Highsmith,MIA,43.00,19.70,4.80,1.90,4.30,0.43,0.80,2.30,0.36,0.30,0.60,0.46,1.10,2.70,3.70,0.70,0.80,0.30,0.80,1.60
238,Steven Adams,MEM,42.00,27.00,8.60,3.70,6.30,0.60,0.00,0.00,0.00,1.10,3.10,0.36,5.10,6.50,11.50,2.30,0.90,1.10,1.90,2.30
239,Marcus Smart,BOS,42.00,32.40,11.10,4.00,9.40,0.43,1.80,5.30,0.33,1.30,1.70,0.77,0.70,2.80,3.50,7.10,1.40,0.40,2.40,2.60
240,Ben Simmons,BRK,42.00,26.30,6.90,3.20,5.60,0.57,0.00,0.00,0.00,0.60,1.40,0.44,1.00,5.30,6.30,6.10,1.30,0.60,2.30,3.30
241,"Michael Porter, Jr,",DEN,42.00,29.40,16.80,6.20,13.00,0.48,2.90,7.20,0.41,1.50,1.90,0.79,0.90,4.40,5.40,1.00,0.70,0.50,1.10,2.30
242,Lonnie Walker,LAL,42.00,26.70,13.20,4.80,10.50,0.45,1.80,4.80,0.37,1.80,2.10,0.89,0.30,1.80,2.10,1.30,0.60,0.30,0.90,1.50
243,Trendon Watford,POR,42.00,16.20,5.50,2.00,3.60,0.56,0.40,0.80,0.49,1.10,1.50,0.74,0.60,2.70,3.30,1.60,0.40,0.10,1.00,1.90
244,Lamar Stevens,CLE,42.00,17.60,5.20,2.10,4.50,0.46,0.50,1.50,0.30,0.60,0.90,0.69,0.50,2.40,3.00,0.50,0.40,0.30,0.50,1.30
245,Ish Wainright,PHX,42.00,15.60,4.30,1.50,3.80,0.38,1.00,2.80,0.34,0.40,0.50,0.81,0.80,1.30,2.10,1.00,0.80,0.30,0.50,2.10
246,Malachi Flynn,TOR,42.00,13.90,4.80,1.70,4.70,0.37,1.00,2.60,0.37,0.40,0.50,0.75,0.40,1.20,1.50,1.50,0.40,0.10,0.40,1.30
247,Isaiah Roby,SAS,42.00,11.30,4.10,1.60,3.70,0.43,0.40,1.40,0.30,0.50,1.00,0.49,0.50,2.00,2.50,0.90,0.40,0.20,0.70,1.30
248,Payton Pritchard,BOS,42.00,12.80,4.90,1.90,4.60,0.40,1.00,2.90,0.34,0.20,0.30,0.69,0.50,1.00,1.50,1.10,0.30,0.00,0.70,0.80
249,James Harden,PHI,41.00,36.40,21.40,6.50,14.50,0.45,2.80,7.20,0.39,5.50,6.40,0.86,0.50,5.60,6.20,10.80,1.20,0.60,3.40,2.00
250,Kevin Love,CLE,41.00,20.00,8.50,2.70,7.00,0.39,1.70,4.80,0.35,1.40,1.50,0.89,1.00,5.80,6.80,1.90,0.20,0.20,1.10,1.60
251,Rui Hachimura,LAL,41.00,24.80,12.40,5.00,10.30,0.48,0.90,2.90,0.33,1.60,2.20,0.70,0.90,3.90,4.80,1.00,0.40,0.40,1.00,1.10
252,Austin Reaves,LAL,41.00,27.90,10.50,3.30,6.80,0.49,1.20,3.30,0.37,2.50,2.90,0.87,0.60,2.40,3.00,2.20,0.50,0.40,1.30,1.70
253,Pat Connaughton,MIL,41.00,25.50,8.50,3.00,7.70,0.40,2.10,5.90,0.35,0.40,0.70,0.61,0.90,4.20,5.10,1.30,0.70,0.10,0.60,1.10
254,Mohamed Bamba,LAL,41.00,17.00,7.20,2.60,5.40,0.49,1.00,2.80,0.38,0.90,1.30,0.66,1.20,3.50,4.60,1.00,0.30,1.00,0.60,2.20
255,Cam Thomas,BRK,41.00,16.60,10.80,3.60,7.80,0.46,0.90,2.10,0.41,2.80,3.30,0.84,0.10,1.50,1.70,1.60,0.40,0.10,1.00,1.10
256,Daishen Nix,HOU,41.00,15.50,3.70,1.20,3.50,0.35,0.70,2.30,0.31,0.50,0.80,0.71,0.30,1.40,1.70,2.50,0.60,0.10,1.40,1.00
257,Juancho Hernangomez,TOR,41.00,14.80,3.00,1.20,2.80,0.43,0.40,1.60,0.26,0.20,0.40,0.56,0.70,2.30,3.00,0.60,0.40,0.10,0.40,1.00
258,Anthony Gill,WAS,41.00,10.00,3.10,1.20,2.00,0.61,0.10,0.50,0.16,0.60,0.70,0.83,0.50,0.90,1.40,0.50,0.10,0.20,0.20,1.20
259,"Jaren Jackson, Jr,",MEM,40.00,27.20,16.90,6.10,12.10,0.50,1.60,4.40,0.36,3.30,4.20,0.78,1.70,5.00,6.70,0.90,1.10,3.30,1.60,3.40
260,"Kevin Porter, Jr,",HOU,40.00,34.00,19.20,6.70,15.40,0.44,2.20,6.40,0.35,3.50,4.60,0.77,1.40,4.10,5.50,5.60,1.30,0.40,3.60,2.70
261,Jordan Goodwin,WAS,40.00,18.10,6.30,2.40,5.40,0.45,0.70,1.70,0.39,0.80,1.10,0.75,0.90,2.40,3.30,2.50,1.00,0.50,0.90,1.70
262,Josh Green,DAL,40.00,24.90,9.20,3.30,6.10,0.55,1.20,2.80,0.41,1.50,2.10,0.72,0.90,1.80,2.70,1.60,0.90,0.10,1.00,2.60
263,Seth Curry,BRK,40.00,22.80,10.40,3.80,8.30,0.46,1.90,4.40,0.42,0.90,0.90,0.97,0.30,1.70,1.90,2.00,0.70,0.20,1.10,1.90
264,Will Barton,WAS,40.00,19.60,7.70,2.80,7.10,0.39,1.30,3.40,0.38,0.90,1.10,0.78,0.30,2.50,2.80,2.40,0.40,0.30,1.10,1.00
265,Cory Joseph,DET,40.00,15.80,4.70,1.70,4.30,0.39,0.60,2.00,0.32,0.70,0.90,0.76,0.30,1.10,1.30,3.30,0.40,0.10,0.80,1.50
266,Jordan Nwora,IND,40.00,15.60,5.90,2.00,5.20,0.38,1.00,2.70,0.38,0.90,1.10,0.86,0.70,2.40,3.10,1.00,0.40,0.20,0.90,0.90
267,Amir Coffey,LAC,40.00,14.30,4.00,1.30,3.40,0.39,0.30,0.90,0.27,1.10,1.40,0.82,0.40,0.90,1.30,1.20,0.20,0.10,0.40,1.20
268,Josh Christopher,HOU,40.00,10.10,4.60,1.90,4.00,0.46,0.30,1.10,0.24,0.70,0.90,0.73,0.30,0.80,1.10,1.00,0.40,0.20,1.00,0.80
269,Kevin Durant,BRK,39.00,36.00,29.70,10.50,18.80,0.56,1.80,4.80,0.38,6.80,7.30,0.93,0.40,6.40,6.70,5.30,0.80,1.50,3.50,2.40
270,Chris Paul,PHX,39.00,32.00,13.70,4.70,11.10,0.43,1.60,4.20,0.37,2.60,3.20,0.83,0.40,3.80,4.20,9.10,1.60,0.50,2.10,2.20
271,"Wendell Carter, Jr,",ORL,39.00,30.10,15.40,5.70,10.70,0.53,1.30,3.50,0.37,2.70,3.60,0.75,2.00,6.50,8.50,2.60,0.40,0.60,2.20,2.90
272,Cole Anthony,ORL,39.00,25.00,12.00,4.20,9.50,0.44,1.10,3.30,0.33,2.50,2.90,0.88,0.60,4.00,4.60,4.10,0.60,0.60,1.50,2.50
273,Dyson Daniels,NOP,39.00,19.90,4.50,1.80,4.00,0.45,0.50,1.50,0.33,0.50,0.70,0.62,0.70,2.80,3.50,2.50,0.90,0.30,1.10,1.90
274,Raulzinho Neto,CLE,39.00,10.30,3.10,1.10,2.20,0.51,0.30,0.90,0.31,0.60,0.60,0.92,0.20,0.80,0.90,1.40,0.40,0.10,0.40,0.90
275,Wesley Matthews,MIL,39.00,15.60,3.20,1.00,3.00,0.33,0.80,2.40,0.33,0.40,0.50,0.85,0.80,1.50,2.20,0.50,0.40,0.30,0.40,1.40
276,Stephen Curry,GSW,38.00,34.60,29.40,9.80,19.80,0.50,4.90,11.40,0.43,5.00,5.40,0.92,0.60,5.80,6.30,6.40,1.00,0.40,3.20,2.20
277,Mitchell Robinson,NYK,38.00,26.90,7.20,3.10,4.60,0.67,0.00,0.00,0.00,1.00,2.00,0.51,4.30,4.60,8.90,1.00,0.90,1.80,0.50,2.90
278,Markelle Fultz,ORL,38.00,29.10,13.00,5.40,10.80,0.50,0.40,1.30,0.30,1.80,2.40,0.77,1.30,2.80,4.00,5.50,1.50,0.40,2.30,2.10
279,Tyrese Maxey,PHI,38.00,32.80,19.80,7.10,15.60,0.46,2.30,5.90,0.39,3.20,4.00,0.81,0.40,2.40,2.80,3.60,0.80,0.10,1.50,2.10
280,Moe Wagner,ORL,38.00,21.00,11.20,3.60,7.40,0.49,1.00,3.20,0.32,2.90,3.40,0.87,1.40,3.30,4.70,1.70,0.80,0.20,1.20,2.70
281,Dennis Smith,CHA,38.00,25.00,8.40,3.40,8.00,0.43,0.40,1.90,0.21,1.20,1.60,0.74,0.40,2.30,2.80,4.40,1.40,0.40,1.60,2.20
282,"Xavier Tillman, Sr,",MEM,38.00,14.70,5.10,2.20,3.60,0.61,0.10,0.30,0.30,0.70,1.40,0.50,1.80,2.10,3.80,1.10,0.80,0.40,0.50,1.20
283,JaMychal Green,GSW,38.00,14.70,6.60,2.50,4.60,0.54,0.70,1.90,0.36,0.90,1.20,0.76,1.40,2.60,3.90,0.90,0.50,0.30,1.10,2.00
284,Dario Saric,OKC,38.00,14.40,6.00,2.10,4.80,0.44,0.70,1.90,0.39,1.00,1.20,0.83,1.10,2.80,3.90,1.50,0.40,0.10,1.00,1.90
285,Nickeil Alexander-Walker,MIN,38.00,14.10,6.10,2.20,4.50,0.49,0.90,2.30,0.40,0.70,1.00,0.69,0.20,1.40,1.60,2.00,0.60,0.40,1.20,1.50
286,MarJon Beauchamp,MIL,38.00,14.80,5.80,2.10,5.30,0.40,1.00,3.10,0.32,0.60,0.80,0.72,0.90,1.50,2.40,0.70,0.50,0.10,0.90,1.60
287,Andrew Wiggins,GSW,37.00,32.20,17.10,6.80,14.30,0.47,2.40,6.10,0.40,1.20,1.90,0.61,1.60,3.40,5.00,2.30,1.20,0.80,1.30,2.90
288,Taurean Prince,MIN,37.00,21.30,8.50,3.20,6.40,0.50,1.40,3.40,0.40,0.80,1.00,0.83,0.30,2.10,2.40,1.60,0.50,0.40,1.20,2.40
289,Luke Kennard,MEM,37.00,20.70,7.80,2.70,5.90,0.46,1.70,3.70,0.45,0.60,0.60,0.96,0.20,2.10,2.30,1.10,0.50,0.10,0.80,1.40
290,Jeff Green,DEN,37.00,19.20,7.90,3.00,6.10,0.50,0.40,1.70,0.24,1.40,2.10,0.70,0.70,1.80,2.50,1.20,0.40,0.20,0.90,1.90
291,Nassir Little,POR,37.00,16.70,5.90,2.20,4.70,0.47,1.00,2.60,0.40,0.50,0.90,0.63,0.50,1.90,2.40,0.90,0.30,0.30,0.60,1.00
292,Isaiah Livers,DET,37.00,21.10,5.50,1.80,4.50,0.40,1.20,3.50,0.36,0.60,0.80,0.79,0.50,1.90,2.40,0.60,0.50,0.50,0.60,1.90
293,Danuel House,PHI,37.00,14.80,4.40,1.50,3.20,0.46,0.60,1.90,0.33,0.80,1.10,0.70,0.20,1.50,1.80,0.70,0.20,0.20,0.40,1.20
294,Ochai Agbaji,UTA,37.00,15.10,4.60,1.70,3.50,0.49,0.80,2.10,0.40,0.30,0.40,0.63,0.60,1.00,1.70,0.50,0.10,0.10,0.30,1.40
295,Bradley Beal,WAS,36.00,32.90,23.10,8.80,16.90,0.52,1.80,4.70,0.38,3.80,4.40,0.85,0.80,2.70,3.50,5.20,0.90,0.60,2.80,1.90
296,Ty Jerome,GSW,36.00,17.80,7.20,2.80,5.40,0.51,0.80,2.00,0.41,0.90,1.00,0.91,0.10,1.50,1.60,2.90,0.50,0.10,0.60,1.40
297,Robert Covington,LAC,36.00,16.20,5.50,1.90,4.70,0.41,1.00,2.90,0.33,0.70,0.90,0.74,0.70,3.00,3.70,1.30,0.70,0.80,0.60,1.90
298,Theo Maledon,CHA,36.00,16.10,5.60,1.80,4.40,0.41,0.60,1.80,0.33,1.40,1.60,0.88,0.30,2.10,2.40,2.40,0.80,0.20,1.00,1.00
299,Darius Bazley,OKC,36.00,15.40,5.40,2.00,4.40,0.45,0.50,1.30,0.40,1.00,1.80,0.55,0.80,2.60,3.40,0.90,0.50,0.80,0.60,1.00
300,George Hill,IND,36.00,18.80,4.90,1.60,3.70,0.45,0.60,2.10,0.31,0.90,1.30,0.74,0.40,1.50,1.90,2.50,0.60,0.10,0.80,1.10
301,Chris Duarte,IND,36.00,19.30,7.90,2.60,7.30,0.36,1.10,3.80,0.30,1.50,1.80,0.83,0.40,2.00,2.40,1.50,0.50,0.20,0.90,1.50
